"critic_score","user_score","critic_count","user_count","score_id"
85,6.7,75,288,1162
96,9.2,16,568,1163
0,0,0,0,1164
0,0,0,0,1165
74,6.1,19,47,1166
0,0,0,0,1167
53,6.7,34,106,1168
75,8.2,54,267,1169
69,6.8,8,6,1170
85,7.9,62,157,1171
0,0,0,0,1172
76,8.2,38,253,1173
76,7.6,18,13,1174
66,6.5,66,279,1175
84,8.2,63,311,1176
78,6.8,69,908,1177
0,8.1,0,15,1178
90,8.7,18,24,1179
79,5.4,81,779,1180
78,5.8,15,712,1181
72,8,40,5,1182
0,2.9,0,45,1183
80,6.4,19,138,1184
55,8.6,10,45,1185
64,7.9,25,53,1186
84,8.5,46,57,1187
0,0,0,0,1188
79,6.8,21,18,1189
84,8.1,32,41,1190
83,8.5,54,134,1191
38,5.7,10,7,1192
0,0,0,0,1193
0,0,0,0,1194
0,0,0,0,1195
0,0,0,0,1196
54,9,26,133,1197
0,0,0,0,1198
0,0,0,0,1199
